id,name,japanese_name,calories
733,Qatayef,カタエフ,200
734,Passatelli,パッサテッリ,300
735,Sweet potato soup,サツマイモスープ,250
736,Shchi,シチー,250
737,Kulfi,クルフィ,200
738,Dolma,ドルマ,200
739,Kai yang,ガイヤーン,350
740,Shark fin soup,フカヒレスープ,250
741,Pozole,ポソレ,350
742,Pakora,パコラ,200
743,Chantilly cake,シャンティケーキ,300
744,Krówki,クロフキ,150
745,Russian tea cake,ロシアンティーケーキ,150
746,Ox-tongue pastry,牛タンペストリー,250
747,Sachertorte,ザッハトルテ,300
748,Palitaw,パリタウ,200
749,Jolpan,ジョルパン,200
750,Mantou,饅頭,200
751,Finger steaks,フィンガーステーキ,300
752,Steak sandwich,ステーキサンドイッチ,400
753,Talo,タロ,200
754,Erkuai,エルクアイ,250
755,Mixian,米線,300
756,St. Louis-style pizza,セントルイススタイルピザ,400
757,Moambe,モアンベ,400
758,Upma,ウプマ,250
759,Panjiri,パンギリ,200
760,Eggs Sardou,エッグサルドー,300
761,Shanghai fried noodles,上海焼きそば,350
762,Quarkkäulchen,クァルクカウルヒェン,250
763,Cupcake,カップケーキ,200
764,Snickerdoodle,スニッカードゥードル,150
765,Farl,ファール,200
766,Coleslaw,コールスロー,150
767,Calas,カラス,200
768,Beef Stroganoff,ビーフストロガノフ,400
769,Shimotsukare,しもつかれ,250
770,Squab,スクワブ,250
771,Basbousa,バスブーサ,200
772,Watalappam,ワタラッパム,250
773,Tepsi baytinijan,テプシ・バイティニジャン,300
774,Kuli-kuli,クリクリ,200
775,Shabu-shabu,しゃぶしゃぶ,400
776,Sundae,スンデ,300
777,Fried brain sandwich,揚げ脳サンドイッチ,350
778,Rollmops,ロールモップス,150
779,Higashi,干菓子,100
780,Panna cotta,パンナコッタ,250
781,Aloo gobi,アルーゴビ,250
782,Aspic,アスピック,150
783,Obatzda,オバツダ,200
784,Gulab jamun,グラブジャムン,200
785,Tuna casserole,ツナキャセロール,300
786,Ribollita,リボリータ,250
787,Chomchom,チョムチョム,200
788,Rassolnik,ラッソルニク,250
789,Jeongol,チョンゴル,350
790,Cantonese seafood soup,広東シーフードスープ,300
791,Eggplant Salad,ナスサラダ,200
792,Kürtőskalács,キュルトゥーシュカラーチ,250
793,Pölsa,ポルサ,300
794,Lobster roll,ロブスターロール,350
795,Sloppy joe,スロッピージョー,350
796,Schnitzel,シュニッツェル,350
797,Bacalhau,バカリャウ,300
798,Sfenj,スフェンジ,200
799,Menudo,メヌード,350
800,Gujia,グジア,200
801,Liver soup,レバースープ,250
802,Panocha,パノチャ,250
803,Chakapuli,チャカプリ,300
804,Sklandrausis,スクランドラウシス,200
805,Liver pâté,レバーパテ,150
806,Rullepølse,ルッレポルセ,250
807,Frikadeller,フリカデラー,300
808,Frikandel,フリカンデル,250
809,Cinnamon roll,シナモンロール,250
810,Scotch pie,スコッチパイ,250
811,Hot wiener,ホットウィーナー,300
812,Wodzionka,ウォジョンカ,250
813,Greek salad,ギリシャサラダ,200
814,Raita,ライタ,150
815,Dong'an chicken,東安鶏,300
816,Boortsog,ボールツォグ,200
817,Coca,コカ,200
818,Champon,ちゃんぽん,350
819,Tabbouleh,タブーレ,150
820,Korokke,コロッケ,200
821,Chile relleno,チレ・レジェーノ,250
822,Brandade,ブランタード,250
823,Hoppang,ホッパン,200
824,Gozinaki,ゴジナキ,150
825,Lazarakia,ラザラキア,150
826,Puff Puff,パフパフ,200
827,Fatteh,ファッテ,250
828,Speculaas,スペキュラース,150
829,Karasumi,カラスミ,100
830,Brandy snaps,ブランデースナップ,150
831,Trdelník,トゥルデルニーク,250
832,Cocido madrileño,コシード・マドリレーニョ,400
833,Red velvet cake,レッドベルベットケーキ,300
834,Kringle,クリングル,250
835,Quenelle,クネル,200
836,Toasted ravioli,トーストラビオリ,250
837,Tajine,タジン,350
838,Cranachan,クラナカン,250
839,Rusk,ラスク,100
840,Mille-feuille,ミルフィーユ,250
841,Acorn noodle soup,どんぐり麺スープ,250
842,Gachas,ガチャス,250
843,Jingisukan,ジンギスカン,400
844,Thekua,テクア,200
845,Ghugni,ググニ,250
846,Tarama,タラマ,150
847,Italian beef,イタリアンビーフ,400
848,Challah,ハラ,250
849,Fried ice cream,揚げアイスクリーム,250
850,Onion ring,オニオンリング,200
851,Smoked meat,スモークミート,300
852,Dahi vada,ダヒ・ヴァダ,200
853,Mother-in-law,マザーインロー,350
854,Blondie,ブロンディ,200
855,Guk,クック,250
856,Hiyashi chūka,冷やし中華,350
857,Sweet shells,スウィートシェル,200
858,Salisbury steak,ソールズベリーステーキ,350
859,Poffertjes,ポッフェルチェス,200
860,Eggs Neptune,エッグネプチューン,300
861,Galbi-jjim,カルビチム,350
862,Agwi-jjim,アグイチム,350
863,Ladob,ラドブ,250
864,Instant-boiled mutton,インスタントボイルドマトン,400
865,Cincalok,チンカロク,100
866,Jook-sing noodles,竹昇麺,300
867,Potbrood,ポットブロード,250
868,Burkinabe cuisine,ブルキナベ料理,350
869,Taralli,タラッリ,150
870,Carbonade flamande,カルボナードフラマンド,400
871,Xôi,ソイ,250
872,Sauerbraten,ザウアーブラーテン,400
873,Spiedie,スピーディ,300
874,Gimbap,キムパプ,200
875,Czernina,チェルニナ,300
876,Kroppkaka,クロップカーカ,300
877,Buddha's delight,仏陀の喜び,250
878,Pain au chocolat,パンオショコラ,250
879,Goetta,ゲッタ,300
880,German chocolate cake,ジャーマンチョコレートケーキ,300
881,Melt sandwich,メルトサンドイッチ,350
882,Popiah,ポピア,200
883,Haleem,ハリーム,300
884,Hornazo,オルナソ,300
885,Janchi-guksu,ジャンチグクス,300
886,Kipper,キッパー,250
887,Bossam,ボッサム,350
888,Arbroath smokie,アーブローススモーキー,250
889,Bologna sandwich,ボローニャサンドイッチ,350
890,Cobbler,コブラー,300
891,Kouign-amann,クイニーアマン,250
892,Char kway teow,チャークアイテオ,350
893,Rostbrätel,ローストブレーテル,350
894,Doenjang-jjigae,テンジャンチゲ,300
895,Tharid,サリード,300
896,Hainanese chicken rice,海南鶏飯,350
897,Bak kut teh,バクテー,400
898,Cabbage roll,キャベツロール,250
899,Runza,ルンザ,350
900,Bananas Foster,バナナフォスター,250
901,Kozhukkatta,コジュカッタ,200
902,Kūčiukai,クーチュカイ,100
903,Smørrebrød,スモーブロー,250
904,Kutia,クティア,250
905,Deviled egg,デビルドエッグ,100
906,Buchteln,ブフテルン,250
907,Apple strudel,アップルシュトゥルーデル,300
908,Wonton,ワンタン,200
909,Chess pie,チェスパイ,300
910,Pirozhki,ピロシキ,250
911,Douzhi,豆汁,150
912,Macaroni soup,マカロニスープ,250
913,Crossing-the-bridge noodles,過橋米線,300
914,Lechazo,レチャソ,400
915,Rolled oyster,ロールオイスター,250
916,Asam pedas,アサムペダス,300
917,Mi krop,ミークロップ,250
918,Patoleo,パトレオ,200
919,Rigó Jancsi,リゴー・ヤンチ,250
920,Ollada,オヤーダ,400
921,Garbure,ガルビュール,350
922,Sabudana Khichadi,サブダナ・キチャディ,250
923,Potée,ポテ,400
924,Phanaeng curry,パネンカレー,350
925,Madeleine,マドレーヌ,150
926,Mashed pumpkin,マッシュカボチャ,200
927,Suet pudding,スエットプディング,300
928,Bombay mix,ボンベイミックス,200
929,Namagashi,生菓子,150
930,Struffoli,ストゥルッフォリ,200
931,Dak-galbi,タッカルビ,350
932,Chuchvara,チュチュヴァラ,200
933,Misal,ミサル,250
934,Patatnik,パタトニック,250
935,Yuxiang,魚香,300
936,Frozen banana,フローズンバナナ,150
937,Psarosoupa,プサロスーパ,250
938,Mekitsa,メキツァ,200
939,Sanna,サンナ,200
940,Qazı,カズィ,300
941,Sorbetes,ソルベテス,150
942,Potatoes O'Brien,ポテトオブライエン,250
943,Tom yum,トムヤム,300
944,Balushahi,バルシャヒ,200
945,Arroz a la cubana,アロス・ア・ラ・クバーナ,350
946,Jalebi,ジャレビ,200
947,Sopaipilla,ソパイピージャ,200
948,Ukha,ウハー,250
949,Svíčková,スヴィチュコヴァー,350
950,Túrós csusza,トゥーローシュ・チュサ,300
951,Pinnekjøtt,ピンネショット,400
952,Salty liquorice,塩リコリス,100
953,Lemon ice box pie,レモンアイスボックスパイ,300
954,Knickerbocker glory,ニッカーボッカーグローリー,250
955,Zhajiangmian,炸醤麺,350
956,Cobb salad,コブサラダ,250
957,Misua,ミスア,250
958,Shoofly pie,シューフライパイ,300
959,Bhakri,バクリ,200
960,Apple cake,アップルケーキ,300
961,Orange chicken,オレンジチキン,350
962,Jamón serrano,ハモンセラーノ,150
963,Bundt cake,バントケーキ,300
964,Bara brith,バラブリス,250
965,Hot pot,火鍋,400
966,Kung Pao chicken,宮保鶏丁,350
967,Mulukhiyah,ムルキーヤ,250
968,Piti,ピティ,350
969,Double ka meetha,ダブル・カ・ミータ,250
970,Choila,チョイラ,250
971,Moustalevria,ムスタレヴリア,200
972,Arizona cheese crisp,アリゾナチーズクリスプ,300
973,Rice Krispies Treats,ライスクリスピートリーツ,150
974,Liangpi,涼皮,250
975,Prinskorv,プリンスコルフ,250
976,Salmorejo,サルモレホ,200
977,Chicken Française,チキンフランセーズ,350
978,Fläskkorv,フレスコルフ,350
979,Glorified rice,グロリファイドライス,250
980,/m/04zzsvg,不明,0
981,Stinky tofu,臭豆腐,150
982,Muffuletta,マフレッタ,400
983,Soy sauce chicken,醤油鶏,350
984,Chicken fingers,チキンフィンガー,250
985,Pecan pie,ピーカンパイ,400
986,Eba,エバ,300
987,Parfait,パフェ,250
988,Ndolé,ンドレ,300
989,Cheese sandwich,チーズサンドイッチ,300
990,Carne de vinha d'alhos,カルネ・デ・ヴィーニャ・ダリョス,400
991,Bob Andy pie,ボブアンディパイ,300
992,Cincinnati chili,シンシナティチリ,400
993,Frico,フリコ,200
994,Tapioca pudding,タピオカプディング,200
995,Minestrone,ミネストローネ,250
996,Boxty,ボクスティ,250
997,Naengmyeon,冷麺,300
998,Seven-layer salad,セブンレイヤーサラダ,250
999,/m/0553tg,不明,0
1000,Cawl,カウル,350
1001,Chocolate pudding,チョコレートプディング,300
1002,Hotdish,ホットディッシュ,600
1003,Ciccioli,チッチョリ,200
1004,Douhua,豆花,150
1005,Berliner,ベルリナー,250
1006,Fried fish,揚げ魚,400
1007,Apple crisp,アップルクリスプ,350
1008,Boudin,ブーダン,450
1009,Yusheng,ユーシェン,300
1010,Babka,バブカ,400
1011,Pizzoccheri,ピッツォッケリ,500
1012,Welsh cake,ウェルシュケーキ,200
1013,Parker House roll,パーカーハウスロール,250
1014,Tripe soup,トリップスープ,350
1015,Chimichanga,チミチャンガ,600
1016,Jucy Lucy,ジューシールーシー,700
1017,Dodger Dog,ドジャードッグ,500
1018,Pastiera,パスティエラ,400
1019,Huarache,ウアラチェ,450
1020,Solkadhi,ソルカディ,150
1021,Schupfnudel,シュプフヌーデル,400
1022,Waldorf pudding,ウォルドルフプディング,350
1023,Harees,ハリース,400
1024,Ash reshteh,アシュ・レシュテ,450
1025,Celery Victor,セロリビクター,200
1026,Diples,ディプレス,250
1027,Kompot,コンポート,150
1028,French onion soup,フレンチオニオンスープ,300
1029,Tres leches cake,トレスレチェスケーキ,400
1030,Torta caprese,トルタカプレーゼ,450
1031,Black Forest gateau,ブラックフォレストケーキ,500
1032,Pâté aux pommes de terre,ポテトパテ,400
1033,Lâpa,ラパ,300
1034,Bündner Nusstorte,ビュンドナーヌストルテ,450
1035,Hachee,ハチェー,500
1036,Spaghetti aglio e olio,スパゲッティアリオエオリオ,400
1037,Whoopie pie,ウーピーパイ,350
1038,Ais kacang,アイスカチャン,200
1039,Chermoula,シェルムーラ,100
1040,Gado-gado,ガドガド,300
1041,Merguez,メルゲーズ,400
1042,Snickers salad,スニッカーズサラダ,350
1043,Giouvetsi,ギウヴェツィ,500
1044,Kharcho,ハルチョ,450
1045,Chicken fried bacon,チキンフライドベーコン,600
1046,Dessert bar,デザートバー,250
1047,Coulibiac,クリビアック,500
1048,Thieboudienne,ティエブジェン,550
1049,Rabri,ラブリ,300
1050,Sapin-sapin,サピンサピン,250
1051,Sealed crustless sandwich,シールドクラストレサンドイッチ,400
1052,Carne asada,カルネアサダ,550
1053,Coyotas,コヨタス,300
1054,Chocolate-covered bacon,チョコレートカバードベーコン,350
1055,Stroopwafel,ストロープワッフェル,250
1056,Gravlax,グラブラックス,200
1057,Pot pie,ポットパイ,500
1058,Ghormeh sabzi,ゴルメサブジ,450
1059,Surf and turf,サーフアンドターフ,600
1060,Brunswick stew,ブランズウィックスチュ,500
1061,Mititei,ミティテイ,400
1062,Fluffernutter,フラッファーナッター,350
1063,Khaja,カジャ,200
1064,Stottie cake,ストッティケーキ,300
1065,London broil,ロンドンブロイル,550
1066,Fasolada,ファソラダ,350
1067,Strudel,シュトゥルーデル,400
1068,Øllebrød,オレブロッド,300
1069,Tamago kake gohan,卵かけご飯,250
1070,Hot water corn bread,ホットウォーターコーンブレッド,200
1071,Philippine adobo,フィリピンアドボ,450
1072,Hulatang,フラタン,400
1073,Dyrlægens natmad,デュルレゲンス・ナトマッド,350
1074,Chistorra,チストラ,300
1075,Polkagris,ポルカグリス,100
1076,Galbi-tang,カルビタン,500
1077,Mrouzia,ムルジア,450
1078,Gopchang-jeongol,ゴプチャンジョンゴル,550
1079,Miang kham,ミアンカム,200
1080,Clams casino,クラムズカジノ,350
1081,Nanbanzuke,南蛮漬け,250
1082,Dripping cake,ドリッピングケーキ,400
1083,Cookie salad,クッキーサラダ,350
1084,Usal,ウサル,300
1085,Mandu-guk,マンドゥグク,400
1086,Smalahove,スマラホーヴェ,500
1087,Kokis,コキス,200
1088,Ori-tang,オリタン,450
1089,Pakhala,パカラ,300
1090,Cream pie,クリームパイ,400
1091,Butajiru,豚汁,350
1092,New England boiled dinner,ニューイングランドボイルドディナー,500
1093,Chhena jalebi,チェナジャレビ,250
1094,Pastitsio,パスティツィオ,450
1095,Panucho,パヌチョ,350
1096,Chhena kheeri,チェナキーリ,300
1097,Kifli,キフリ,250
1098,Solyanka,ソリャンカ,400
1099,Sadhya,サディヤ,500
1100,Cullen skink,カレンスキンク,350
1101,Havregrynskugle,ハヴレグリュンスクーグル,200
1102,Harira,ハリラ,400
1103,Cornish game hen,コーニッシュゲームヘン,450
1104,Beef on weck,ビーフオンウェック,500
1105,Tompouce,トンプース,300
1106,Caldo de siete mares,カルドデシエテマレス,450
1107,Millionbøf,ミリオンベフ,500
1108,Chicago-style hot dog,シカゴスタイルホットドッグ,400
1109,Risalamande,リサラマンデ,350
1110,Alinazik kebab,アリナジクケバブ,450
1111,Medisterpølse,メディステルポルセ,400
1112,Sarson da saag,サルソンダサーグ,350
1113,Liangfen,涼粉,150
1114,Pistolette,ピストレット,300
1115,Steamed clams,蒸しアサリ,250
1116,Ulam,ウラム,200
1117,Kheer,キール,300
1118,Tlacoyo,トラコヨ,350
1119,Tarator,タラトール,200
1120,/m/061ptq,不明,0
1121,/m/062p8x,不明,0
1122,Cochinita pibil,コチニータピビル,500
1123,Buddha Jumps Over the Wall,仏跳牆,600
1124,Sfouf,スフーフ,250
1125,Ham and cheese sandwich,ハムアンドチーズサンドイッチ,400
1126,Peanut butter,ピーナッツバター,100
1127,Bacon,ベーコン,200
1128,Chicken karahi,チキンカラヒ,450
1129,Maple bacon donut,メープルベーコンドーナツ,350
1130,Litti,リッティ,250
1131,Nam Khao,ナムカオ,350
1132,Nam tok,ナムトック,400
1133,Baozi,包子,250
1134,Kibbeh,キッベ,300
1135,Kushari,クシャリ,400
1136,Jiuniang,酒醸,200
1137,/m/06603bl,不明,0
1138,Machher Jhol,マチェルジョル,350
1139,Fahsa,ファハサ,500
1140,Mysore pak,マイソールパック,300
1141,Chalupa,チャルーパ,400
1142,Swiss roll,スイスロール,300
1143,Balkenbrij,バルケンブリ,400
1144,Tortas de aceite,トルタスデアセイテ,250
1145,Popover,ポップオーバー,250
1146,Falooda,ファルーダ,300
1147,Macaroni salad,マカロニサラダ,350
1148,Barbacoa,バルバコア,500
1149,Hushpuppy,ハッシュパピー,250
1150,Luther Burger,ルターバーガー,600
1151,Ragout,ラグー,450
1152,Bánh bao,バインバオ,250
1153,Moronga,モロンガ,400
1154,Hayashi rice,ハヤシライス,400
1155,Zürcher Geschnetzeltes,チューリッヒ風グシュネツェルテス,450
1156,Éclair,エクレア,250
1157,Colcannon,コルキャノン,350
1158,Bear claw,ベアクロー,350
1159,Francesinha,フランセシーニャ,550
1160,Wat,ワット,400
1161,Loco moco,ロコモコ,600
1162,Hot milk cake,ホットミルクケーキ,350
1163,Hoe,ホエ,250
1164,Gordita,ゴルディータ,400
1165,Macaron,マカロン,100
1166,Pepperoni roll,ペパロニロール,350
1167,Rasgulla,ラスグッラ,200
1168,Angel wings,エンジェルウィングス,250
1169,Huevos rancheros,ウエボスランチェロス,400
1170,Caprese salad,カプレーゼサラダ,250
1171,Kombdi vade,コンブディヴァデ,400
1172,Yong tau foo,ヨントーフー,350
1173,Chai tow kway,チャイトウクウェイ,350
1174,Machaca,マチャカ,450
1175,Ugali,ウガリ,300
1176,Arròs negre,アロスネグレ,450
1177,Kimchi fried rice,キムチチャーハン,350
1178,Frybread,フライブレッド,300
1179,Halo-halo,ハロハロ,300
1180,Shiokara,塩辛,150
1181,Janssons frestelse,ヤンソンスフレステルセ,350
1182,Hot Brown,ホットブラウン,500
1183,Torta,トルタ,400
1184,Ćevapi,チェヴァピ,350
1185,Salt water taffy,塩水タフィー,100
1186,Çılbır,チルブル,250
1187,Murtabak,ムルタバク,400
1188,Tahu goreng,タフゴレン,250
1189,Soto ayam,ソトアヤム,400
1190,Mee siam,ミーシアム,350
1191,Submarine sandwich,サブマリンサンドイッチ,500
1192,Halušky,ハルシュキ,350
1193,Kimchi-jjigae,キムチチゲ,400
1194,Fish ball,魚団子,200
1195,Blodpalt,ブロッドパルト,350
1196,Lebanon bologna,レバノンボローニャ,300
1197,Okroshka,オクローシュカ,250
1198,Linzer torte,リンツァートルテ,400
1199,Shrikhand,シュリカンド,300
1200,Yakiniku,焼肉,500
1201,Huevos divorciados,ウエボスディボルシアードス,400
1202,Nihari,ニハリ,450
1203,Sautéed reindeer,ソテーしたトナカイ,400
1204,Hasty pudding,ヘイスティプディング,300
1205,Mission burrito,ミッションブリトー,600
1206,Sweet and sour pork,酢豚,400
1207,Rødgrød,レッドグレッド,200
1208,Booyah,ブーヤ,500
1209,Bienenstich,ビーネンシュティッヒ,400
1210,Dressed herring,ドレスドヘリング,250
1211,New York-style pizza,ニューヨークスタイルピザ,600
1212,Bistek,ビステック,450
1213,Sinigang,シニガン,400
1214,Fios de ovos,フィオスデオヴォス,200
1215,Vitello tonnato,ヴィテッロトンナート,350
1216,Bisque,ビスク,350
1217,/m/06w9wv4,不明,0
1218,Modak,モダック,200
1219,New Haven-style pizza,ニューヘイブンスタイルピザ,600
1220,California-style pizza,カリフォルニアスタイルピザ,550
1221,Wrap,ラップ,400
1222,Puri,プリ,250
1223,Jamón,ハモン,150
1224,Khash,カシュ,450
1225,Beef bourguignon,ビーフブルギニョン,500
1226,Truffade,トリュファード,400
1227,Bò nướng lá lốt,ボーニュオンラロット,350
1228,Ful medames,フルメダメス,300
1229,Aligot,アリゴ,400
1230,Kolach,コラチ,350
1231,Guaiwei,怪味,250
1232,Kesme,ケスメ,350
1233,Funeral potatoes,フューネラルポテト,400
1234,Sushi,寿司,250
1235,Arancini,アランチーニ,300
1236,Creamed corn,クリームドコーン,250
1237,Mozzarella sticks,モッツァレラスティック,300
1238,American goulash,アメリカングーラッシュ,450
1239,Gofio,ゴフィオ,200
1240,Soup alla Canavese,スープアラカナヴェーゼ,350
1241,Red beans and rice,レッドビーンズアンドライス,400
1242,Rössypottu,ロッシーポットゥ,450
1243,Fläskpannkaka,フレスクパンクーカ,400
1244,Hyderabadi biryani,ハイデラバーディビリヤニ,500
1245,Baeckeoffe,ベッケオフ,500
1246,Eton mess,イートンメス,300
1247,Khachapuri,ハチャプリ,400
1248,Banoffee pie,バノフィーパイ,450
1249,Ants climbing a tree,アリが木に登る,350
1250,Dandan noodles,担々麺,400
1251,Suanla chaoshou,酸辣抄手,350
1252,Samgye-tang,参鶏湯,450
1253,Spam musubi,スパムむすび,300
1254,Bridie,ブリディ,350
1255,Kaju katli,カジュカトリ,250
1256,Chocolate-covered potato chips,チョコレートカバードポテトチップス,300
1257,Enne gai,エンガイ,400
1258,Ruske kape,ルスケカペ,300
1259,Spaghetti,スパゲッティ,400
1260,Grass jelly,仙草ゼリー,150
1261,Salt potatoes,ソルトポテト,250
1262,Katsudon,カツ丼,500
1263,Pasanda,パサンダ,450
1264,Banitsa,バニツァ,350
1265,Flammekueche,フラムクーヘ,400
1266,Twice-cooked pork,回鍋肉,400
1267,Kare-kare,カレカレ,450
1268,Laobing,老餅,250
1269,Banmian,板麺,350
1270,Honey cake,ハニケーキ,400
1271,Swiss wing,スイスウィング,400
1272,Michigan hot dog,ミシガンホットドッグ,400
1273,Tong sui,糖水,200
1274,Taco,タコス,350
1275,Sosatie,ソサティ,350
1276,Pap,パップ,300
1277,Umngqusho,ウムンガショ,350
1278,Malva pudding,マルヴァプディング,400
1279,Vichyssoise,ビシソワーズ,250
1280,Zōni,雑煮,350
1281,Maxwell Street Polish,マクスウェルストリートポーリッシュ,400
1282,Vetkoek,フェットクック,300
1283,Mealie bread,ミーリーブレッド,250
1284,Chakalaka,チャカラカ,250
1285,Frikkadel,フリッカデル,350
1286,/m/07fr1x,不明,0
1287,Tteokguk,トックク,350
1288,Coney Island hot dog,コニーアイランドホットドッグ,400
1289,Tirokafteri,ティロカフテリ,200
1290,Fesikh,フェシク,300
1291,Boston cream pie,ボストンクリームパイ,400
1292,Buttermilk koldskål,バターミルクコールドスコール,250
1293,White boiled shrimp,白ゆでエビ,150
1294,Bagnun,バグヌン,350
1295,Buntil,ブンティル,300
1296,/m/07l949,不明,0
1297,Pisto,ピスト,250
1298,Dhokla,ドクラ,200
1299,Al pastor,アルパストール,450
1300,St. Paul sandwich,セントポールサンドイッチ,400
1301,Melonpan,メロンパン,250
1302,Haupia,ハウピア,200
1303,Lángos,ラーンゴシュ,300
1304,Étouffée,エトゥフェ,450
1305,Galaktoboureko,ガラクトブレコ,350
1306,Börek,ビュレック,350
1307,Suya,スヤ,350
1308,Rye bread,ライ麦パン,200
1309,Escudella i carn d'olla,エスクデリャイカルンドラ,500
1310,Gari,ガリ,100
1311,Tilkut,ティルクト,200
1312,Botok,ボトック,300
1313,Tatws Pum Munud,タトゥスプムムヌド,350
1314,Char siu,叉焼,400
1315,Burgoo,バーグー,500
1316,Cacık,ジャジュック,150
1317,Barfi,バルフィ,250
1318,Mulligan stew,マリガンスチュ,450
1319,Biangbiang noodles,ビャンビャン麺,400
1320,Banana pudding,バナナプディング,350
1321,Crab cake,クラブケーキ,350
1322,Chinese sausage,中国ソーセージ,300
1323,Veal,仔牛肉,400
1324,Curry bread,カレーパン,300
1325,Pastry heart,ペストリーハート,250
1326,Crème caramel,クレームカラメル,250
1327,Panada,パナーダ,350
1328,Pie à la Mode,パイアラモード,400
1329,Bonus Jack,ボーナスジャック,500
1330,Princess cake,プリンセスケーキ,400
1331,Harihari-nabe,ハリハリ鍋,450
1332,Hot chicken,ホットチキン,500
1333,Chhena Jhili,チェナジリ,250
1334,Grape pie,グレープパイ,400
1335,Chicken bog,チキンボッグ,450
1336,Sausage gravy,ソーセージグレービー,350
1337,Derby pie,ダービーパイ,450
1338,Ice cream cake,アイスクリームケーキ,400
1339,Swiss steak,スイスステーキ,450
1340,/m/083tx9,不明,0
1341,Stack cake,スタックケーキ,400
1342,Lobster Newberg,ロブスターニューバーグ,450
1343,Nikujaga,肉じゃが,350
1344,Manti,マンティ,300
1345,Parmigiana,パルミジャーナ,450
1346,Palatschinke,パラチンケ,250
1347,Gujeolpan,九節板,350
1348,Rajas con crema,ラハスコンクレマ,300
1349,Mak-guksu,マッククス,350
1350,Tetrazzini,テトラジーニ,450
1351,Squid,イカ,250
1352,Palak paneer,パラックパニール,350
1353,Krumkake,クルムカーケ,200
1354,Bolani,ボラニ,250
1355,Pork and beans,ポークアンドビーンズ,350
1356,Nian gao,年糕,250
1357,Oysters Rockefeller,オイスターズロックフェラー,350
1358,Tavče gravče,タヴチェグラヴチェ,350
1359,Bakkwa,バクワ,300
1360,Xacuti,シャクティ,400
1361,Sarapatel,サラパテル,400
1362,Taquito,タキート,300
1363,Egg drop soup,卵スープ,200
1364,Shaobing,焼餅,250
1365,Chawanmushi,茶碗蒸し,150
1366,Nshima/Nsima,ンシマ,300
1367,Pollock roe,タラコ,150
1368,Slinger,スリンガー,600
1369,Japchae,チャプチェ,350
1370,St. Honoré cake,サントノレケーキ,400
1371,Barm cake,バームケーキ,250
1372,Tulumba,トゥルムバ,250
1373,Xiaolongbao,小籠包,250
1374,Delmonico steak,デルモニコステーキ,550
1375,Stromboli,ストロンボリ,450
1376,Kanafeh,クナーファ,300
1377,Hamdog,ハムドッグ,500
1378,Garri,ガリ,150
1379,Kofta,コフタ,350
1380,Chana masala,チャナマサラ,350
1381,Salo,サロ,200
1382,Lung fung soup,龍鳳湯,300
1383,Dirty rice,ダーティライス,400
1384,Urnebes,ウルネベス,200
1385,Andouillette,アンドゥイエット,400
1386,Landjäger,ランドイェーガー,300
1387,Fisherman's soup,フィッシャーマンズスープ,400
1388,Romeritos,ロメリトス,350
1389,Lane cake,レーンケーキ,400
1390,Pork jelly,ポークゼリー,250
1391,Idiyappam,イディヤッパム,200
1392,Smörgåstårta,スモーガストルタ,450
1393,Smažený sýr,スマジェニースィール,400
1394,Arroz con pollo,アロスコンポヨ,450
1395,/m/08xmsn,不明,0
1396,Petit gâteau,プチガトー,250
1397,Tea egg,茶葉卵,100
1398,Cocada amarela,コカーダアマレーラ,300
1399,Japanese curry,カレー,450
1400,Qeema,キーマ,400
1401,Unagi,うなぎ,300
1402,Hoppin' John,ホッピンジョン,400
1403,Gyūhi,求肥,150
1404,Clafoutis,クラフティ,350
1405,Green curry,グリーンカレー,400
1406,Gỏi cuốn,ゴイ・クオン,200
1407,Chilli crab,チリクラブ,450
1408,Lo mai gai,盧米鶏,300
1409,Lo mein,ローメン,400
1410,Puttu,プットゥ,200
1411,Fried pie,フライドパイ,300
1412,Spanish rice,スパニッシュライス,350
1413,Nuea phat phrik,ヌアパットプリック,400
1414,Jeow bong,ジェオボン,150
1415,Massaman curry,マッサマンカレー,450
1416,Ostkaka,オストカーカ,350
1417,Guilinggao,亀苓膏,150
1418,Spettekaka,スペッテカーカ,350
1419,Cudighi,クディギ,400
1420,Saltimbocca,サルティンボッカ,350
1421,Sfogliatella,スフォリアテッラ,300
1422,Beef chow fun,ビーフチャウファン,400
1423,Chow mein sandwich,チャウメンサンドイッチ,450
1424,Carnitas,カルニータス,450
1425,Chinese steamed eggs,中華蒸し卵,150
1426,Oyster omelette,オイスターオムレツ,300
1427,Garden salad,ガーデンサラダ,150
1428,Salade niçoise,サラダニソワーズ,250
1429,Dal bhat,ダルバート,350
1430,Biscuits and gravy,ビスケットアンドグレービー,400
1431,Omurice,オムライス,400
1432,Pao cai,泡菜,100
1433,Nasi liwet,ナシリウェット,350
1434,Thai suki,タイスキ,450
1435,Moo shu pork,ムーシューポーク,400
1436,Corn crab soup,コーンクラブスープ,300
1437,Fabes con almejas,ファベスコンアルメハス,400
1438,Golden Opulence Sundae,ゴールデンオピュレンスサンデー,300
1439,Ketoprak,ケトプラック,350
1440,Mala Mogodu,マラモゴドゥ,450
1441,Tekwan,テクワン,350
1442,Vatrushka,ヴァトルーシュカ,250
1443,Yin Yang fish,陰陽魚,400
1444,Boston cream doughnut,ボストンクリームドーナツ,300
1445,Ramen,ラーメン,450
1446,Home fries,ホームフライ,300
1447,Mustacciuoli,ムスタッチョーリ,250
